Date,Sales
2023-08-22,215
2023-08-23,208
2023-08-24,257
2023-08-25,201
2023-08-26,440
2023-08-27,210
2023-08-28,119
2023-08-29,304
2023-08-30,151
2023-08-31,386
2023-09-01,120
2023-09-02,349
2023-09-03,270
2023-09-04,301
2023-09-05,226
2023-09-06,311
2023-09-07,259
2023-09-08,284
2023-09-09,351
2023-09-10,123
2023-09-11,230
2023-09-12,352
2023-09-13,62
2023-09-14,223
2023-09-15,168
2023-09-16,129
2023-09-17,83
2023-09-18,251
2023-09-19,184
2023-09-20,237
2023-09-21,124
2023-09-22,202
2023-09-23,183
2023-09-24,134
2023-09-25,351
2023-09-26,253
2023-09-27,333
2023-09-28,364
2023-09-29,456
2023-09-30,299
2023-10-01,348
2023-10-02,249
2023-10-03,116
2023-10-04,385
2023-10-05,471
2023-10-06,404
2023-10-07,147
2023-10-08,181
2023-10-09,348
2023-10-10,139
2023-10-11,196
2023-10-12,369
2023-10-13,384
2023-10-14,407
2023-10-15,402
2023-10-16,445
2023-10-17,424
2023-10-18,340
2023-10-19,469
2023-10-20,429
2023-10-21,447
2023-10-22,254
2023-10-23,440
2023-10-24,166
2023-10-25,196
2023-10-26,92
2023-10-27,249
2023-10-28,293
2023-10-29,427
2023-10-30,427
2023-10-31,457
2023-11-01,299
2023-11-02,459
2023-11-03,243
2023-11-04,316
2023-11-05,158
2023-11-06,407
2023-11-07,400
2023-11-08,430
2023-11-09,80
2023-11-10,130
2023-11-11,366
2023-11-12,376
2023-11-13,152
2023-11-14,169
2023-11-15,423
2023-11-16,262
2023-11-17,322
2023-11-18,107
2023-11-19,428
2023-11-20,432
2023-11-21,491
2023-11-22,308
2023-11-23,125
2023-11-24,227
2023-11-25,393
2023-11-26,295
2023-11-27,360
2023-11-28,369
2023-11-29,127
2023-11-30,480
2023-12-01,109
2023-12-02,492
2023-12-03,159
2023-12-04,217
2023-12-05,359
2023-12-06,261
2023-12-07,445
2023-12-08,352
2023-12-09,319
2023-12-10,73
2023-12-11,293
2023-12-12,405
2023-12-13,50
2023-12-14,80
2023-12-15,417
2023-12-16,211
2023-12-17,459
2023-12-18,131
2023-12-19,273
2023-12-20,114
2023-12-21,66
2023-12-22,132
2023-12-23,349
2023-12-24,263
2023-12-25,63
2023-12-26,397
2023-12-27,304
2023-12-28,125
2023-12-29,295
2023-12-30,272
2023-12-31,168
